[78.5917,58.1271,-12.2295]	6501.322659	[196.446,-66.7012,-4.026]
[79.0589,57.4627,-12.0951]	6501.331454	[102.044,-69.7425,7.85492]
[78.656,56.788,-12.0258]	6501.34045	[10.1632,-70.5509,2.36653]
[77.2895,56.1325,-11.9054]	6501.349457	[-86.3659,-68.5151,7.63321]
[75.0205,55.4828,-11.8783]	6501.358582	[-183.596,-67.4553,-1.22864]
[71.8332,54.8602,-11.8036]	6501.367582	[-293.628,-65.094,3.37991]
[67.8796,54.2481,-11.8671]	6501.376574	[-396.52,-64.2203,-10.4704]
[64.2833,53.6195,-12.161]	6501.385955	[-413.611,-69.7354,-28.0701]
[60.1544,53.0594,-12.4352]	6501.394921	[-492.599,-66.8139,-28.358]
[55.4783,52.5248,-12.6908]	6501.403873	[-545.09,-64.509,-27.2881]
[50.1561,52.0036,-12.8578]	6501.413079	[-585.243,-61.5057,-19.7568]
[43.9305,51.5882,-12.0776]	6501.422135	[-661.864,-51.3937,68.38]
[37.2004,51.2678,-11.2356]	6501.431085	[-680.187,-41.9231,69.6133]
[29.8573,51.0913,-10.2909]	6501.440219	[-687.695,-27.3769,72.7016]
[21.423,51.1891,-9.11662]	6501.448926	[-719.087,-1.09921,73.8239]
[13.1672,51.5395,-8.03225]	6501.457919	[-703.821,29.3357,74.3185]
[5.37752,52.1264,-7.01014]	6501.466911	[-702.003,59.2894,86.943]
[-2.05397,52.9015,-6.03059]	6501.476039	[-689.304,82.1317,92.1081]
[-9.09487,53.8394,-5.12898]	6501.48504	[-687.407,101.045,86.9563]
[-15.8317,54.9087,-4.12016]	6501.494043	[-678.143,114.806,109.112]
[-22.2937,56.0454,-2.94383]	6501.503161	[-659.543,120.397,132.562]
[-28.4105,57.2359,-1.60795]	6501.512144	[-648.863,125.719,152.785]
[-34.2757,58.4649,-0.196849]	6501.521164	[-631.389,129.843,157.338]
[-39.9338,59.7187,1.26117]	6501.530526	[-596.571,130.278,155.411]
[-45.0444,60.9841,2.79386]	6501.539364	[-578.275,134.631,171.104]
[-49.9166,62.2782,4.38285]	6501.548519	[-540.041,136.545,172.201]
[-54.3581,63.5804,5.99464]	6501.557661	[-502.558,137.316,173.033]
[-58.3348,64.8917,7.61739]	6501.566663	[-465.197,139.122,174.64]
[-61.8527,66.1697,9.15292]	6501.57563	[-420.548,135.92,165.507]
[-64.8496,67.359,10.6718]	6501.584505	[-370.02,126.818,164.406]
[-67.4257,68.4329,12.0743]	6501.593741	[-312.784,111.883,148.072]
[-69.4071,69.3238,13.2684]	6501.602755	[-257.931,94.5683,128.999]
[-70.9368,70.1098,14.2208]	6501.611784	[-208.656,83.9493,104.223]
[-71.9207,70.7312,14.9619]	6501.620906	[-148.745,66.9452,82.1645]
[-72.327,71.204,15.4379]	6501.629904	[-90.5668,52.6571,56.2355]
[-72.1393,71.5674,15.6252]	6501.638724	[-30.6923,42.3258,27.5956]
[-71.4737,71.847,15.5233]	6501.64804	[26.1774,31.7603,-3.86548]
[-70.1634,72.0003,15.1074]	6501.657014	[89.7273,20.3865,-34.4124]
[-68.2988,72.0471,14.3987]	6501.66592	[152.944,9.46601,-65.325]
[-65.9672,71.9953,13.3802]	6501.675022	[210.514,-1.57039,-98.7555]
[-63.1848,71.8535,12.1465]	6501.684157	[262.708,-10.7216,-120.777]
[-60.0507,71.6132,10.6548]	6501.693163	[309.409,-21.0893,-150.024]
[-56.6195,71.3159,9.06989]	6501.702308	[345.013,-27.489,-160.057]
[-52.9201,70.9612,7.35041]	6501.711239	[378.638,-33.1884,-175.404]
[-48.9851,70.5512,5.51943]	6501.720283	[402.334,-39.073,-186.491]
[-44.8543,70.1089,3.62514]	6501.729431	[414.998,-41.708,-189.786]
[-40.6461,69.6444,1.67139]	6501.738427	[423.627,-43.8938,-196.943]
[-36.4376,69.2079,-0.198852]	6501.747315	[427.466,-41.5413,-189.246]
[-32.3103,68.8409,-2.02271]	6501.756261	[418.662,-35.1222,-186.173]
[-27.1704,58.6382,-5.24989]	6501.76561	[539.277,-2279.49,-358.571]
[-23.7363,62.649,-6.4305]	6501.775209	[155.64,2396.61,108.372]
[-20.352,65.455,-7.71828]	6501.784417	[289.189,113.907,-80.8727]
[-17.0262,67.8056,-9.07842]	6501.793536	[319.818,160.171,-130.139]
[-13.8748,70.1641,-10.4357]	6501.802365	[322.909,243.687,-143.493]
[-10.7935,72.9139,-11.9235]	6501.81145	[313.607,326.529,-161.92]
[-7.82395,76.2104,-13.4692]	6501.820663	[301.875,401.465,-165.448]
[-5.0569,80.119,-15.0265]	6501.829639	[291.251,499.938,-170.868]
[-2.4476,84.7567,-16.4978]	6501.838667	[273.407,576.71,-152.149]
[0.0195676,90.0421,-17.9275]	6501.847786	[256.803,621.1,-146.37]
[2.32207,95.849,-19.2581]	6501.856757	[245.811,668.033,-135.059]
[4.51844,102.159,-20.5376]	6501.865801	[234.125,689.007,-129.601]
[6.58421,108.75,-21.7026]	6501.874832	[221.246,703.83,-114.834]
[8.53794,115.568,-22.6511]	6501.883964	[206.984,709.716,-81.0856]
[10.3537,122.479,-23.534]	6501.892904	[199.576,733.214,-90.6798]
[12.0651,129.493,-24.1064]	6501.901943	[185.041,727.865,-37.2668]
[13.6878,136.568,-24.7082]	6501.911044	[177.695,730.822,-58.7444]
[15.1832,143.632,-24.8869]	6501.920032	[169.386,741.256,-11.6149]
[16.588,150.637,-25.1761]	6501.929032	[161.153,738.431,-31.035]
[17.8506,157.506,-25.102]	6501.938092	[146.493,722.798,9.4133]
[18.9618,164.159,-24.6988]	6501.947208	[130.791,701.066,44.1602]
[19.9541,170.447,-24.4166]	6501.956121	[121.003,684.237,25.8919]
[20.8459,176.665,-24.0999]	6501.965271	[106.704,668.23,29.8246]
[21.6005,182.337,-23.6095]	6501.974239	[94.9174,629.423,49.1179]
[22.2449,187.59,-23.1111]	6501.983294	[80.9739,587.274,50.4106]
[22.7967,192.538,-22.5091]	6501.992414	[71.5607,556.147,59.7259]
[23.2543,197.197,-21.9912]	6502.001403	[62.1197,535.237,50.6155]
[23.557,201.368,-21.1689]	6502.010415	[45.7454,485.272,84.5705]
[23.7456,205.164,-20.4343]	6502.019511	[34.7384,443.858,71.2521]
[24.2697,213.557,-18.9998]	6502.046537	[15.5987,369.55,70.2036]
[23.5255,214.938,-18.3444]	6502.055597	[-3.84699,235.58,18.7142]
[22.8964,216.285,-17.7408]	6502.064665	[-21.9893,193.864,34.7793]
[22.2602,217.03,-17.0218]	6502.073642	[-38.2688,119.468,58.709]
[21.6256,217.351,-16.6302]	6502.082782	[-47.6771,67.7119,31.5279]
[20.942,217.071,-16.3454]	6502.091855	[-57.8408,7.34985,24.4992]
[20.1656,216.109,-16.1336]	6502.100788	[-69.1422,-57.9104,19.3589]
[19.3012,214.558,-16.0862]	6502.109959	[-80.8898,-124.347,3.91962]
[18.3733,212.355,-16.1893]	6502.118908	[-87.9515,-192.455,-10.3923]
[17.2967,209.183,-16.2627]	6502.127833	[-102.905,-305.537,-6.27046]
[16.1573,205.274,-16.6225]	6502.136694	[-110.849,-404.423,-37.4225]
[14.9664,200.634,-17.1926]	6502.14604	[-114.119,-481.876,-58.2889]
[13.7841,195.154,-17.7835]	6502.155031	[-114.955,-599.987,-59.5568]
[12.6725,188.844,-18.3738]	6502.164029	[-109.891,-712.204,-59.8739]
[11.6847,181.918,-19.0421]	6502.173132	[-98.7548,-767.182,-70.0435]
[10.808,174.372,-19.5477]	6502.182163	[-87.3251,-811.128,-48.7632]
[10.0003,166.424,-20.102]	6502.191097	[-81.0171,-823.044,-56.3711]
[9.22195,157.918,-20.3875]	6502.200291	[-77.3262,-844.147,-22.2147]
[8.16559,142.666,-20.5034]	6502.218292	[-66.4981,-857.025,-4.54316]
[7.53943,132.308,-20.3768]	6502.227408	[-54.2071,-863.752,21.3156]
