[2.0375,87.8188,-19.0244]	946.087611
[1.80678,87.6421,-19.1]	946.10806
[1.57038,87.448,-19.1677]	946.129099
[1.34863,87.2528,-19.2186]	946.149681
[1.13735,87.0524,-19.2519]	946.170838
[0.946303,86.8565,-19.2665]	946.191677
[0.766838,86.6587,-19.2664]	946.212999
[0.622708,86.4913,-19.2466]	946.233898
[0.495667,86.336,-19.2133]	946.256374
[0.394712,86.2069,-19.1762]	946.278421
[0.31142,86.0953,-19.1378]	946.300496
[0.244795,86.0014,-19.1018]	946.322348
[0.194234,85.9264,-19.0706]	946.344332
[0.155429,85.8645,-19.0433]	946.36605
[0.125917,85.8129,-19.0186]	946.388333
[0.101878,85.7654,-18.9948]	946.410515
[0.0777337,85.7107,-18.9685]	946.432744
[0.0510523,85.6421,-18.936]	946.454352
[0.0191036,85.5477,-18.8942]	946.476201
[-0.0171016,85.4217,-18.8454]	946.497953
[-0.0554355,85.2673,-18.7944]	946.519764
[-0.086843,85.132,-18.7582]	946.541256
[-0.110619,85.0326,-18.7376]	946.562786
[-0.133262,84.9489,-18.7242]	946.58516
[-0.161873,84.8625,-18.7149]	946.607877
[-0.200081,84.7727,-18.7095]	946.630346
[-0.241214,84.6971,-18.7087]	946.651586
[-0.286066,84.6315,-18.7126]	946.672428
[-0.33333,84.5755,-18.7194]	946.693785
[-0.382638,84.527,-18.7276]	946.714786
[-0.43611,84.4822,-18.7359]	946.736374
[-0.500957,84.4355,-18.7438]	946.757289
[-0.588887,84.3821,-18.7504]	946.77838
[-0.691148,84.3281,-18.7589]	946.799657
[-0.796532,84.2773,-18.765]	946.821095
[-0.881889,84.237,-18.7721]	946.842083
[-0.948121,84.2052,-18.7792]	946.863447
[-0.992036,84.1834,-18.7823]	946.884556
[-1.03825,84.1616,-18.7848]	946.907887
[-1.07685,84.1463,-18.7838]	946.931096
[-1.11216,84.1353,-18.7814]	946.954327
[-1.14214,84.1294,-18.7765]	946.97822
[-1.164,84.1273,-18.771]	947.002258
[-1.18201,84.1263,-18.7656]	947.025984
[-1.19909,84.1252,-18.7602]	947.049613
[-1.22019,84.1233,-18.7535]	947.073195
[-1.24857,84.1196,-18.7445]	947.097089
[-1.28776,84.1128,-18.7326]	947.119016
[-1.32814,84.1045,-18.7202]	947.141253
[-1.37295,84.0946,-18.7059]	947.163524
[-1.41622,84.0843,-18.6914]	947.185994
[-1.4562,84.074,-18.6767]	947.208488
[-1.49183,84.0638,-18.6624]	947.230991
[-1.52806,84.0523,-18.6472]	947.253365
[-1.56567,84.0387,-18.6312]	947.275852
[-1.59489,84.0276,-18.6179]	947.298303
[-1.61666,84.019,-18.6076]	947.32086
[-1.63733,84.0106,-18.5975]	947.343604
[-1.65303,84.0039,-18.5893]	947.366596
[-1.66904,83.997,-18.5807]	947.391352
[-1.68539,83.99,-18.5718]	947.416113
[-1.69783,83.9845,-18.5647]	947.441105
[-1.71267,83.9781,-18.5564]	947.46538
[-1.72507,83.9725,-18.5501]	947.489281
[-1.737,83.9672,-18.5444]	947.513674
[-1.75413,83.9592,-18.5368]	947.537809
[-1.77945,83.9466,-18.526]	947.562638
[-1.80695,83.932,-18.5147]	947.586892
[-1.84355,83.9108,-18.5003]	947.611959
[-1.88172,83.8868,-18.4846]	947.637011
[-1.92019,83.8607,-18.4682]	947.661876
[-1.97155,83.8237,-18.4454]	947.68719
[-2.0239,83.7844,-18.4221]	947.71325
[-2.07973,83.7416,-18.3968]	947.738774
[-2.12224,83.7087,-18.377]	947.762713
